type,country_canonical,country_key,aliases,exactmatch,exclusions,who_subregion,who_region,gbd_region,Mexico,Caribbean
country,Swaziland,swaziland,zimbawe,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,"Tanzania, United Republic Of","tanzania, united republic of",tanzania; zanzibar; zania; tanzan,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,"The Congo, Democratic Republic Of","the congo, democratic republic of",NA,,,AFRE,Africa,Central Sub-Saharan Africa,,
country,Togo,togo,NA,togo,,AFRD,Africa,Western Sub-Saharan Africa,,
country,Uganda,uganda,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,united republic of tanzania,united republic of tanzania,"dar-es-salaam, tanzania; tanzania; zanzibar",,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Zambia,zambia,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Zanzibar,zanzibar,NA,,,AFRE,Africa,Eastern Sub-Saharan Africa,,
country,Zimbabwe,zimbabwe,NA,,,AFRE,Africa,Southern Sub-Saharan Africa,,
country,Anguilla,anguilla,NA,,,AMRB,Americas,Caribbean,,
country,Antigua,antigua,NA,,,AMRB,Americas,Caribbean,,
country,St. Croix,st. croix,croix,croix,,,,,,
country,St. Barts,st. barts,barts,barts,,,,,,
country,St. Kitts and Nevis,st. kitts and nevis,kitts; nevis,kitts; nevis,,AMRB,Americas,Caribbean,,
country,Cayman Islands,cayman,grand cayman; grand caymans,,,AMRB,Americas,Caribbean,,
country,Turks and Caicos,turks and caicos,turks; caicos,turks; caicos,,AMRB,Americas,Caribbean,,
country,St. Lucia,st. lucia,st lucia; lucia,st lucia; lucia; luicia; lucus,,AMRB,Americas,Caribbean,,
country,Bonaire,bonaire,NA,,,AMRB,Americas,Caribbean,,
country,Curacao,curacao,cuacao,,,AMRB,Americas,Caribbean,,
country,Antilles,antilles,sint eustatius and saba; eustatius; saba,saba,,AMRB,Americas,Caribbean,,
country,Aruba,aruba,NA,,,AMRB,Americas,Caribbean,,
country,Antigua And Barbuda,antigua and barbuda,NA,,,AMRB,Americas,Caribbean,,
country,Argentina,argentina,buenos aires; buenos aries,,,AMRB,Americas,Southern Latin America,,
country,Aruba,aruba,NA,,,AMRB,Americas,Caribbean,,
country,Bahamas,bahamas,abacco; nassau,,,AMRB,Americas,Caribbean,,
country,Barbados,barbados,NA,,,AMRB,Americas,Caribbean,,
country,belize,belize,belieze; belive; belise,,,AMRB,Americas,Caribbean,,
country,bolivia (plurinational state of),bolivia (plurinational state of),bolivia; la paz; sucre; boliva,,,AMRD,Americas,Andean Latin America,,
region,Amazon,amazon,NA,,,AMRB,Americas,Tropical Latin America,,
country,Brazil,brazil,rio de janeiro,,,AMRB,Americas,Tropical Latin America,,
country,Canada,canada,blue vista bay resort; british columbia; nova scotia; montreal; toronto; ottawa; ontario; new brunswick; quebec; prince edward island; vancouver; arctic,bc,,AMRA,Americas,High-income North America,,
